trt,plot,flag,tree,sample,rep
ctrl,1,pink/black,1,dest1,1
ctrl,1,pink/black,2,dest2,1
ctrl,1,pink/black,3,dest3,1
ctrl,1,pink/black,4,non-dest,1
ctrl,1,pink/black,5,dest4,1
ctrl,1,pink/black,6,dest5,1
thin,2,green/black,1,dest1,1
thin,2,green/black,2,dest2,1
thin,2,green/black,3,dest3,1
thin,2,green/black,4,non-dest,1
thin,2,green/black,5,dest4,1
thin,2,green/black,6,dest5,1
thin,3,green/black,1,dest1,2
thin,3,green/black,2,dest2,2
thin,3,green/black,3,dest3,2
thin,3,green/black,4,non-dest,2
thin,3,green/black,5,dest4,2
thin,3,green/black,6,dest5,2
thin,4,green/black,1,dest1,3
thin,4,green/black,2,dest2,3
thin,4,green/black,3,dest3,3
thin,4,green/black,4,non-dest,3
thin,4,green/black,5,dest4,3
thin,4,green/black,6,dest5,3
thin,5,green/black,1,dest1,4
thin,5,green/black,2,dest2,4
thin,5,green/black,3,dest3,4
thin,5,green/black,4,non-dest,4
thin,5,green/black,5,dest4,4
thin,5,green/black,6,dest5,4
ctrl,6,pink/black,1,dest1,2
ctrl,6,pink/black,2,dest2,2
ctrl,6,pink/black,3,dest3,2
ctrl,6,pink/black,4,non-dest,2
ctrl,6,pink/black,5,dest4,2
ctrl,6,pink/black,6,dest5,2
ctrl,7,pink/black,1,dest1,3
ctrl,7,pink/black,2,dest2,3
ctrl,7,pink/black,3,dest3,3
ctrl,7,pink/black,4,non-dest,3
ctrl,7,pink/black,5,dest4,3
ctrl,7,pink/black,6,dest5,3
thin,8,green/black,1,dest1,5
thin,8,green/black,2,dest2,5
thin,8,green/black,3,dest3,5
thin,8,green/black,4,non-dest,5
thin,8,green/black,5,dest4,5
thin,8,green/black,6,dest5,5
ctrl,9,pink/black,1,dest1,4
ctrl,9,pink/black,2,dest2,4
ctrl,9,pink/black,3,dest3,4
ctrl,9,pink/black,4,non-dest,4
ctrl,9,pink/black,5,dest4,4
ctrl,9,pink/black,6,dest5,4
ctrl,10,pink/black,1,dest1,5
ctrl,10,pink/black,2,dest2,5
ctrl,10,pink/black,3,dest3,5
ctrl,10,pink/black,4,non-dest,5
ctrl,10,pink/black,5,dest4,5
ctrl,10,pink/black,6,dest5,5
