trt,plot,flag,tree,sample,rep,cluster,fruit
ctrl,1,pink/black,4,non-dest,1,1,1
ctrl,1,pink/black,4,non-dest,1,1,2
ctrl,1,pink/black,4,non-dest,1,1,3
ctrl,1,pink/black,4,non-dest,1,1,4
ctrl,1,pink/black,4,non-dest,1,1,5
ctrl,1,pink/black,4,non-dest,1,1,6
ctrl,1,pink/black,4,non-dest,1,2,1
ctrl,1,pink/black,4,non-dest,1,2,2
ctrl,1,pink/black,4,non-dest,1,2,3
ctrl,1,pink/black,4,non-dest,1,2,4
ctrl,1,pink/black,4,non-dest,1,2,5
ctrl,1,pink/black,4,non-dest,1,2,6
ctrl,1,pink/black,4,non-dest,1,3,1
ctrl,1,pink/black,4,non-dest,1,3,2
ctrl,1,pink/black,4,non-dest,1,3,3
ctrl,1,pink/black,4,non-dest,1,3,4
ctrl,1,pink/black,4,non-dest,1,3,5
ctrl,1,pink/black,4,non-dest,1,3,6
ctrl,1,pink/black,4,non-dest,1,4,1
ctrl,1,pink/black,4,non-dest,1,4,2
ctrl,1,pink/black,4,non-dest,1,4,3
ctrl,1,pink/black,4,non-dest,1,4,4
ctrl,1,pink/black,4,non-dest,1,4,5
ctrl,1,pink/black,4,non-dest,1,4,6
ctrl,1,pink/black,4,non-dest,1,5,1
ctrl,1,pink/black,4,non-dest,1,5,2
ctrl,1,pink/black,4,non-dest,1,5,3
ctrl,1,pink/black,4,non-dest,1,5,4
ctrl,1,pink/black,4,non-dest,1,5,5
ctrl,1,pink/black,4,non-dest,1,5,6
ctrl,1,pink/black,4,non-dest,1,6,1
ctrl,1,pink/black,4,non-dest,1,6,2
ctrl,1,pink/black,4,non-dest,1,6,3
ctrl,1,pink/black,4,non-dest,1,6,4
ctrl,1,pink/black,4,non-dest,1,6,5
ctrl,1,pink/black,4,non-dest,1,6,6
ctrl,1,pink/black,4,non-dest,1,7,1
ctrl,1,pink/black,4,non-dest,1,7,2
ctrl,1,pink/black,4,non-dest,1,7,3
ctrl,1,pink/black,4,non-dest,1,7,4
ctrl,1,pink/black,4,non-dest,1,7,5
ctrl,1,pink/black,4,non-dest,1,7,6
ctrl,1,pink/black,4,non-dest,1,8,1
ctrl,1,pink/black,4,non-dest,1,8,2
ctrl,1,pink/black,4,non-dest,1,8,3
ctrl,1,pink/black,4,non-dest,1,8,4
ctrl,1,pink/black,4,non-dest,1,8,5
ctrl,1,pink/black,4,non-dest,1,8,6
ctrl,1,pink/black,4,non-dest,1,9,1
ctrl,1,pink/black,4,non-dest,1,9,2
ctrl,1,pink/black,4,non-dest,1,9,3
ctrl,1,pink/black,4,non-dest,1,9,4
ctrl,1,pink/black,4,non-dest,1,9,5
ctrl,1,pink/black,4,non-dest,1,9,6
ctrl,1,pink/black,4,non-dest,1,10,1
ctrl,1,pink/black,4,non-dest,1,10,2
ctrl,1,pink/black,4,non-dest,1,10,3
ctrl,1,pink/black,4,non-dest,1,10,4
ctrl,1,pink/black,4,non-dest,1,10,5
ctrl,1,pink/black,4,non-dest,1,10,6
ctrl,1,pink/black,4,non-dest,1,11,1
ctrl,1,pink/black,4,non-dest,1,11,2
ctrl,1,pink/black,4,non-dest,1,11,3
ctrl,1,pink/black,4,non-dest,1,11,4
ctrl,1,pink/black,4,non-dest,1,11,5
ctrl,1,pink/black,4,non-dest,1,11,6
ctrl,1,pink/black,4,non-dest,1,12,1
ctrl,1,pink/black,4,non-dest,1,12,2
ctrl,1,pink/black,4,non-dest,1,12,3
ctrl,1,pink/black,4,non-dest,1,12,4
ctrl,1,pink/black,4,non-dest,1,12,5
ctrl,1,pink/black,4,non-dest,1,12,6
ctrl,1,pink/black,4,non-dest,1,13,1
ctrl,1,pink/black,4,non-dest,1,13,2
ctrl,1,pink/black,4,non-dest,1,13,3
ctrl,1,pink/black,4,non-dest,1,13,4
ctrl,1,pink/black,4,non-dest,1,13,5
ctrl,1,pink/black,4,non-dest,1,13,6
ctrl,1,pink/black,4,non-dest,1,14,1
ctrl,1,pink/black,4,non-dest,1,14,2
ctrl,1,pink/black,4,non-dest,1,14,3
ctrl,1,pink/black,4,non-dest,1,14,4
ctrl,1,pink/black,4,non-dest,1,14,5
ctrl,1,pink/black,4,non-dest,1,14,6
ctrl,1,pink/black,4,non-dest,1,15,1
ctrl,1,pink/black,4,non-dest,1,15,2
ctrl,1,pink/black,4,non-dest,1,15,3
ctrl,1,pink/black,4,non-dest,1,15,4
ctrl,1,pink/black,4,non-dest,1,15,5
ctrl,1,pink/black,4,non-dest,1,15,6
ctrl,1,pink/black,4,non-dest,1,16,1
ctrl,1,pink/black,4,non-dest,1,16,2
ctrl,1,pink/black,4,non-dest,1,16,3
ctrl,1,pink/black,4,non-dest,1,16,4
ctrl,1,pink/black,4,non-dest,1,16,5
ctrl,1,pink/black,4,non-dest,1,16,6
ctrl,1,pink/black,4,non-dest,1,17,1
ctrl,1,pink/black,4,non-dest,1,17,2
ctrl,1,pink/black,4,non-dest,1,17,3
ctrl,1,pink/black,4,non-dest,1,17,4
ctrl,1,pink/black,4,non-dest,1,17,5
ctrl,1,pink/black,4,non-dest,1,17,6
ctrl,1,pink/black,4,non-dest,1,18,1
ctrl,1,pink/black,4,non-dest,1,18,2
ctrl,1,pink/black,4,non-dest,1,18,3
ctrl,1,pink/black,4,non-dest,1,18,4
ctrl,1,pink/black,4,non-dest,1,18,5
ctrl,1,pink/black,4,non-dest,1,18,6
ctrl,1,pink/black,4,non-dest,1,19,1
ctrl,1,pink/black,4,non-dest,1,19,2
ctrl,1,pink/black,4,non-dest,1,19,3
ctrl,1,pink/black,4,non-dest,1,19,4
ctrl,1,pink/black,4,non-dest,1,19,5
ctrl,1,pink/black,4,non-dest,1,19,6
ctrl,1,pink/black,4,non-dest,1,20,1
ctrl,1,pink/black,4,non-dest,1,20,2
ctrl,1,pink/black,4,non-dest,1,20,3
ctrl,1,pink/black,4,non-dest,1,20,4
ctrl,1,pink/black,4,non-dest,1,20,5
ctrl,1,pink/black,4,non-dest,1,20,6
